40052:
 num     #instances         #bytes  class name (module)
 151:            27            864  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@17.0.6)
 152:            54            864  java.lang.ref.ReferenceQueue$Lock (java.base@17.0.6)
 153:            27            864  java.net.InetAddress$InetAddressHolder (java.base@17.0.6)
 154:            18            864  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17.0.6)
 155:            26            832  java.util.Locale (java.base@17.0.6)
 156:            13            832  org.jcp.xml.dsig.internal.dom.XMLDSigRI$ProviderService (java.xml.crypto@17.0.6)
 157:            34            816  java.util.ImmutableCollections$ListN (java.base@17.0.6)
 158:            17            816  org.apache.zookeeper.KeeperException$NoNodeException
 159:            20            800  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@17.0.6)
 160:            20            800  java.security.CodeSource (java.base@17.0.6)
 161:            14            784  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@17.0.6)
 162:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@17.0.6)
 163:            24            768  java.lang.Package (java.base@17.0.6)
 164:            12            768  java.nio.DirectByteBuffer (java.base@17.0.6)
 165:            32            768  java.util.Collections$SingletonList (java.base@17.0.6)
 166:            19            760  java.lang.Package$VersionInfo (java.base@17.0.6)
 167:            46            736  java.util.concurrent.locks.ReentrantLock (java.base@17.0.6)
 168:             7            728  java.util.jar.JarFile$JarFileEntry (java.base@17.0.6)
 169:            13            728  javax.management.openmbean.CompositeType (java.management@17.0.6)
 170:            30            720  java.util.concurrent.atomic.AtomicLong (java.base@17.0.6)
 171:            30            720  org.slf4j.impl.Log4jLoggerAdapter
 172:            18            720  sun.reflect.generics.repository.MethodRepository (java.base@17.0.6)
 173:            33            696  [Ljavax.management.MBeanConstructorInfo; (java.management@17.0.6)
 174:            29            696  java.lang.Class$AnnotationData (java.base@17.0.6)
 175:             7            680  [D (java.base@17.0.6)
 176:             1            680  org.apache.zookeeper.server.SessionTrackerImpl
 177:            17            680  sun.nio.fs.WindowsPath (java.base@17.0.6)
 178:            30            664  [Ljava.lang.reflect.Type; (java.base@17.0.6)
 179:             1            664  org.apache.zookeeper.server.SyncRequestProcessor
 180:             6            656  [Ljava.beans.MethodDescriptor; (java.desktop@17.0.6)
 181:            21            648  [Ljava.io.ObjectStreamField; (java.base@17.0.6)
 182:            27            648  java.lang.RuntimePermission (java.base@17.0.6)
 183:             1            648  org.apache.zookeeper.server.PrepRequestProcessor
 184:             8            640  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@17.0.6)
 185:            10            640  sun.security.mscapi.SunMSCAPI$ProviderService (jdk.crypto.mscapi@17.0.6)
 186:            15            632  [Ljava.lang.invoke.MethodType; (java.base@17.0.6)
 187:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@17.0.6)
 188:            26            624  java.security.spec.ECFieldF2m (java.base@17.0.6)
 189:            26            624  java.util.jar.Attributes$Name (java.base@17.0.6)
 190:            38            608  java.lang.constant.ReferenceClassDescImpl (java.base@17.0.6)
 191:            19            608  javax.management.MBeanConstructorInfo (java.management@17.0.6)
 192:            15            600  com.sun.jmx.mbeanserver.PerInterface (java.management@17.0.6)
 193:            18            576  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17.0.6)
 194:            18            576  sun.reflect.generics.tree.MethodTypeSignature (java.base@17.0.6)
 195:             9            576  sun.security.mscapi.SunMSCAPI$ProviderServiceA (jdk.crypto.mscapi@17.0.6)
 196:            14            560  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@17.0.6)
 197:             7            560  java.util.concurrent.TimeUnit (java.base@17.0.6)
 198:             7            560  java.util.zip.ZipFile$Source (java.base@17.0.6)
 199:            14            560  javax.management.openmbean.SimpleType (java.management@17.0.6)
 200:            10            560  sun.invoke.util.Wrapper (java.base@17.0.6)
 201:            23            552  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@17.0.6)
 202:            34            544  org.apache.zookeeper.txn.ErrorTxn
 203:            11            528  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@17.0.6)
 204:            11            528  java.util.concurrent.LinkedBlockingQueue (java.base@17.0.6)
 205:            11            528  java.util.logging.LogManager$LoggerWeakRef (java.logging@17.0.6)
 206:            22            528  org.apache.zookeeper.KeeperException$Code
 207:             8            512  com.sun.security.sasl.Provider$ProviderService (java.security.sasl@17.0.6)
 208:             9            504  java.util.LinkedHashMap (java.base@17.0.6)
 209:            21            504  sun.reflect.generics.factory.CoreReflectionFactory (java.base@17.0.6)
 210:             7            496  [Lsun.invoke.util.Wrapper; (java.base@17.0.6)
 211:            11            488  [Ljava.lang.reflect.Method; (java.base@17.0.6)
 212:            12            480  com.sun.beans.util.Cache$Kind$Soft (java.desktop@17.0.6)
 213:            12            480  java.lang.OutOfMemoryError (java.base@17.0.6)
 214:            10            480  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.6)
 215:            10            480  org.apache.log4j.jmx.LoggerDynamicMBean
 216:            19            456  java.net.InetSocketAddress$InetSocketAddressHolder (java.base@17.0.6)
 217:            25            448  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@17.0.6)
 218:             8            448  java.io.FileCleanable (java.base@17.0.6)
 219:             7            448  java.util.zip.Inflater (java.base@17.0.6)
 220:             8            448  sun.management.MemoryPoolImpl (java.management@17.0.6)
 221:             7            448  sun.nio.fs.WindowsFileAttributes (java.base@17.0.6)
 222:            20            440  [Ljavax.management.MBeanNotificationInfo; (java.management@17.0.6)
 223:            11            440  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.6)
 224:             9            432  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@17.0.6)
 225:            18            432  java.lang.invoke.Invokers (java.base@17.0.6)
 226:            27            432  java.security.spec.ECFieldFp (java.base@17.0.6)
 227:            18            432  javax.management.StandardMBean (java.management@17.0.6)
 228:             9            432  sun.nio.ch.SelectionKeyImpl (java.base@17.0.6)
 229:            18            432  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@17.0.6)
 230:            18            432  sun.reflect.generics.scope.MethodScope (java.base@17.0.6)
 231:            13            416  sun.security.jca.ProviderConfig (java.base@17.0.6)
 232:            17            408  sun.nio.ch.OptionKey (java.base@17.0.6)
 233:            17            408  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@17.0.6)
 234:            12            400  [Ljava.lang.constant.ClassDesc; (java.base@17.0.6)
 235:             5            400  jdk.internal.reflect.DelegatingClassLoader (java.base@17.0.6)
 236:             7            392  java.util.jar.JarFile (java.base@17.0.6)
 237:            12            384  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.6)
 238:            12            384  java.lang.invoke.VarForm (java.base@17.0.6)
 239:            16            384  java.net.Inet4Address (java.base@17.0.6)
 240:            12            384  java.util.logging.LogManager$LogNode (java.logging@17.0.6)
 241:             8            384  sun.nio.ch.SocketAdaptor (java.base@17.0.6)
 242:            22            376  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@17.0.6)
 243:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17.0.6)
 244:             1            376  java.util.logging.LogManager$Cleaner (java.logging@17.0.6)
 245:             1            376  jdk.internal.misc.InnocuousThread (java.base@17.0.6)
 246:             1            376  org.apache.zookeeper.server.ZooKeeperThread
 247:            23            368  [Ljava.security.Principal; (java.base@17.0.6)
 248:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17.0.6)
 249:            23            368  java.security.ProtectionDomain$Key (java.base@17.0.6)
 250:             9            360  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@17.0.6)
 251:             9            360  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17.0.6)
 252:            11            352  java.io.File (java.base@17.0.6)
 253:            11            352  java.lang.constant.DirectMethodHandleDesc$Kind (java.base@17.0.6)
 254:            11            352  java.net.Inet6Address$Inet6AddressHolder (java.base@17.0.6)
 255:            11            352  org.apache.log4j.ProvisionNode
 256:             6            336  java.nio.DirectLongBufferU (java.base@17.0.6)
 257:            14            336  java.security.Permissions (java.base@17.0.6)
 258:             1            336  java.util.concurrent.ForkJoinPool (java.base@17.0.6)
 259:             7            336  jdk.internal.loader.URLClassPath$JarLoader (java.base@17.0.6)
 260:             3            336  sun.security.provider.HashDrbg (java.base@17.0.6)
 261:             6            336  sun.util.calendar.ZoneInfo (java.base@17.0.6)
 262:            18            328  [Lsun.reflect.generics.tree.TypeSignature; (java.base@17.0.6)
 263:            10            320  java.lang.constant.DirectMethodHandleDescImpl (java.base@17.0.6)
 264:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@17.0.6)
 265:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@17.0.6)
 266:            13            312  java.util.concurrent.LinkedBlockingQueue$Node (java.base@17.0.6)
 267:            13            312  org.apache.log4j.Level
 268:            19            304  java.net.InetSocketAddress (java.base@17.0.6)
 269:            19            304  java.util.concurrent.atomic.AtomicInteger (java.base@17.0.6)
 270:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@17.0.6)
 271:             6            288  java.beans.BeanDescriptor (java.desktop@17.0.6)
 272:             9            288  java.lang.constant.PrimitiveClassDescImpl (java.base@17.0.6)
 273:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@17.0.6)
 274:             9            288  java.util.logging.Level (java.logging@17.0.6)
 275:             9            288  java.util.logging.Level$KnownLevel (java.logging@17.0.6)
 276:             9            288  javax.management.MBeanNotificationInfo (java.management@17.0.6)
 277:             9            288  jdk.internal.loader.NativeLibraries (java.base@17.0.6)
 278:             9            288  jdk.internal.logger.LazyLoggers$LazyLoggerAccessor (java.base@17.0.6)
 279:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@17.0.6)
 280:            18            288  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17.0.6)
 281:             9            288  sun.nio.ch.DummySocketImpl (java.base@17.0.6)
 282:            12            288  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.6)
 283:             7            280  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@17.0.6)
 284:            17            272  java.util.Collections$UnmodifiableSet (java.base@17.0.6)
 285:             6            264  [Ljava.beans.PropertyDescriptor; (java.desktop@17.0.6)
 286:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@17.0.6)
 287:            11            264  java.net.Inet6Address (java.base@17.0.6)
 288:            11            264  java.util.ArrayDeque (java.base@17.0.6)
 289:            11            264  java.util.Collections$SetFromMap (java.base@17.0.6)
 290:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@17.0.6)
 291:            16            256  org.apache.zookeeper.txn.CreateSessionTxn
 292:             5            240  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@17.0.6)
 293:             3            240  [Ljava.nio.ByteBuffer; (java.base@17.0.6)
 294:             6            240  java.beans.GenericBeanInfo (java.desktop@17.0.6)
 295:            10            240  java.lang.constant.MethodTypeDescImpl (java.base@17.0.6)
 296:            10            240  java.nio.charset.CoderResult (java.base@17.0.6)
 297:            10            240  java.nio.file.StandardOpenOption (java.base@17.0.6)
 298:            10            240  java.util.Date (java.base@17.0.6)
 299:             6            240  java.util.EnumMap (java.base@17.0.6)
 300:             6            240  java.util.IdentityHashMap (java.base@17.0.6)
 301:             6            240  java.util.stream.StreamOpFlag (java.base@17.0.6)
 302:            10            240  javax.management.NotificationBroadcasterSupport$ListenerInfo (java.management@17.0.6)
 303:            10            240  org.apache.log4j.jmx.MethodUnion
 304:            13            224  [Ljava.lang.constant.ConstantDesc; (java.base@17.0.6)
 305:             7            224  java.io.RandomAccessFile (java.base@17.0.6)
 306:             4            224  java.util.Properties (java.base@17.0.6)
 307:             7            224  java.util.zip.ZipFile$CleanableResource (java.base@17.0.6)
 308:             7            224  org.apache.log4j.helpers.PatternParser$LiteralPatternConverter
 309:             9            216  [Ljava.nio.channels.SelectionKey; (java.base@17.0.6)
 310:             9            216  java.lang.NamedPackage (java.base@17.0.6)
 311:             9            216  java.net.NetPermission (java.base@17.0.6)
 312:             9            216  sun.util.logging.PlatformLogger$Level (java.base@17.0.6)
 313:             2            208  [Lorg.apache.zookeeper.KeeperException$Code;
 314:             5            200  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@17.0.6)
 315:             5            200  java.lang.invoke.DirectMethodHandle$Interface (java.base@17.0.6)
 316:             5            200  java.lang.invoke.VarHandleInts$FieldInstanceReadWrite (java.base@17.0.6)
 317:             5            200  jdk.internal.ref.Cleaner (java.base@17.0.6)
 318:             8            192  [Ljava.security.ProtectionDomain; (java.base@17.0.6)
 319:             8            192  com.sun.beans.introspect.PropertyInfo$Name (java.desktop@17.0.6)
 320:             6            192  com.sun.beans.util.Cache$CacheEntry (java.desktop@17.0.6)
 321:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@17.0.6)
 322:             8            192  java.lang.ThreadLocal$ThreadLocalMap (java.base@17.0.6)
 323:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@17.0.6)
 324:             3            192  java.nio.DirectByteBufferR (java.base@17.0.6)
 325:            12            192  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.6)
 326:            12            192  java.util.Collections$SingletonSet (java.base@17.0.6)
 327:             8            192  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@17.0.6)
 328:             8            192  org.apache.zookeeper.Watcher$Event$KeeperState
 329:             3            192  sun.nio.cs.SingleByte$Encoder (java.base@17.0.6)
 330:             3            192  sun.security.provider.SHA2$SHA256 (java.base@17.0.6)
 331:             1            168  [[Ljava.math.BigInteger; (java.base@17.0.6)
 332:             7            168  java.lang.System$Logger$Level (java.base@17.0.6)
 333:             3            168  java.util.logging.Logger (java.logging@17.0.6)
 334:             7            168  java.util.zip.Inflater$InflaterZStreamRef (java.base@17.0.6)
 335:             7            168  java.util.zip.ZipFile$Source$Key (java.base@17.0.6)
 336:             3            168  javax.management.openmbean.OpenMBeanOperationInfoSupport (java.management@17.0.6)
 337:             2            160  [Ljava.lang.constant.DirectMethodHandleDesc$Kind; (java.base@17.0.6)
 338:             3            160  [Ljava.util.logging.Level; (java.logging@17.0.6)
 339:             4            160  java.lang.WeakPairMap$Pair$Weak (java.base@17.0.6)
 340:             5            160  java.lang.invoke.VarHandle$AccessType (java.base@17.0.6)
 341:             5            160  java.nio.DirectByteBuffer$Deallocator (java.base@17.0.6)
 342:            10            160  java.util.Formatter$Flags (java.base@17.0.6)
 343:             5            160  java.util.ImmutableCollections$MapN (java.base@17.0.6)
 344:             5            160  java.util.RegularEnumSet (java.base@17.0.6)
 345:             4            160  java.util.logging.Logger$ConfigurationData (java.logging@17.0.6)
 346:             5            160  java.util.regex.Pattern$Branch (java.base@17.0.6)
 347:            10            160  javax.management.NotificationFilterSupport (java.management@17.0.6)
 348:             5            160  javax.management.StandardEmitterMBean (java.management@17.0.6)
 349:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type (java.base@17.0.6)
